0_EU_circo;01_code_région;02_nom_région;03_chef-lieu_région;04_numéro_département;05_nom_département;06_préfecture;07_numéro_circonscription;08_nom_commune;09_codes_postaux;10_code_insee;11_latitude;12_longitude;13_éloignement
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Anglemont;88700;88008;48.383333;6.666667;1.39
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Arches;88380;88011;48.116667;6.533333;1.05
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Archettes;88380;88012;48.116667;6.533333;1.05
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Autrey;88700;88021;48.3;6.683333;1.33
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Badménil-aux-Bois;88330;88027;48.3;6.516667;1.47
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Bayecourt;88150;88040;48.266667;6.483333;1.26
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Bazien;88700;88042;48.416667;6.683333;1.69
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Brû;88700;88077;48.35;6.683333;1.08
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Bult;88700;88080;48.3;6.6;1
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Chantraine;88000;88087;48.166667;6.433333;1.42
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Charmois-l'Orgueilleux;88270;88092;48.1;6.266667;1.86
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Châtel-sur-Moselle;88330;88094;48.3;6.4;1
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Chaumousey;88390;88098;48.166667;6.333333;0.79
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Chavelot;88150;88099;48.233333;6.433333;0.56
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Clézentaine;88700;88110;48.416667;6.533333;1.69
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Damas-aux-Bois;88330;88121;48.4;6.45;1.54
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Darnieulles;88390;88126;48.2;6.35;0.29
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Deinvillers;88700;88127;48.416667;6.55;1.69
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Deyvillers;88000;88132;48.2;6.516667;0.66
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Dignonville;88000;88133;48.25;6.5;1.16
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Dinozé;88000;88134;48.133333;6.483333;1.5
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Dogneville;88000;88136;48.216667;6.45;0.91
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Domèvre-sur-Avière;88390;88142;48.216667;6.383333;1.28
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Domèvre-sur-Durbion;88330;88143;48.283333;6.466667;0.96
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Dommartin-aux-Bois;88390;88147;48.166667;6.266667;2.25
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Domptail;88700;88153;48.45;6.616667;2
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Doncières;88700;88156;48.4;6.633333;1.54
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Dounoux;88220;88157;48.1;6.45;1.2
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Epinal;88000;88160;48.183333;6.45;0.91
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Fauconcourt;88700;88168;48.366667;6.533333;1.24
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Fomerey;88390;88174;48.216667;6.333333;0.7
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Frizon;88440;88190;;;
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Gigney;88390;88200;48.233333;6.333333;1.14
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Girancourt;88390;88201;48.166667;6.316667;1.05
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Girmont;88150;88204;48.266667;6.433333;0.33
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Golbey;88190;88209;48.2;6.433333;0.33
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Hadigny-les-Verrières;88330;88224;48.316667;6.466667;0.78
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Hadol;88220;88225;48.083333;6.483333;1.35
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Haillainville;88330;88228;48.4;6.483333;1.54
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Hardancourt;88700;88230;48.383333;6.566667;1.39
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Housseras;88700;88243;48.316667;6.716667;1.56
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Igney;88150;88247;48.283333;6.4;0.7
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Jeanménil;88700;88251;48.333333;6.683333;1.04
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Jeuxey;88000;88253;48.2;6.483333;0.47
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;La Baffe;88460;88028;48.166667;6.566667;1.7
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;La Chapelle-aux-Bois;88240;88088;48.033333;6.333333;1.81
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Le Clerjus;88240;88108;47.966667;6.316667;2.42
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Les Forges;88390;88178;48.183333;6.383333;1.14
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Longchamp;88000;88273;48.216667;6.516667;0.76
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Mazeley;88150;88294;48.25;6.333333;1.86
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Ménarmont;88700;88298;48.416667;6.65;1.69
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Ménil-sur-Belvitte;88700;88301;48.383333;6.7;1.39
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Moriville;88330;88313;48.35;6.433333;1.08
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Moyemont;88700;88318;48.35;6.533333;1.22
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Nomexy;88440;88327;48.3;6.383333;0.63
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Nossoncourt;88700;88333;48.4;6.666667;1.54
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Oncourt;88150;88337;48.25;6.366667;1.18
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Ortoncourt;88700;88338;48.366667;6.516667;1.43
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Pallegney;88330;88342;48.3;6.45;0.63
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Rambervillers;88700;88367;48.35;6.633333;1.08
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Rehaincourt;88330;88379;48.366667;6.466667;1.24
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Renauvoid;88390;88388;;;
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Romont;88700;88395;48.366667;6.583333;1.24
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Roville-aux-Chênes;88700;88402;48.383333;6.6;1.39
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Saint-Benoît-la-Chipotte;88700;88412;48.366667;6.733333;1.61
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Sainte-Barbe;88700;88410;;;
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Saint-Genest;88700;88416;48.35;6.516667;1.45
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Saint-Gorgon;88700;88417;48.333333;6.65;0.93
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Saint-Maurice-sur-Mortagne;88700;88425;48.383333;6.583333;1.39
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Saint-Pierremont;88700;88432;48.433333;6.583333;1.85
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Sanchey;88390;88439;48.183333;6.366667;0.7
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Sercoeur;88600;88454;48.25;6.533333;2.12
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Thaon-les-Vosges;88150;88465;48.25;6.416667;0.29
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Uriménil;88220;88481;48.1;6.4;1.2
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Uxegney;88390;88483;48.2;6.366667;0.67
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Uzemain;88220;88484;48.083333;6.35;1.51
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Vaudéville;88000;88495;48.233333;6.55;1.6
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Vaxoncourt;88330;88497;48.283333;6.416667;1.01
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Villoncourt;88150;88509;48.266667;6.516667;1.95
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Vomécourt;88700;88521;;;
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Xaffévillers;88700;88527;48.416667;6.616667;1.69
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Xertigny;88220;88530;48.05;6.4;1.66
Est;41;Lorraine;Metz;88;Vosges;Épinal;1;Zincourt;88330;88532;48.3;6.433333;0.63
Est;41;Lorraine;Metz;88;Vosges;Épinal;2;Allarmont;88110;88005;48.483333;7.016667;2.3
Est;41;Lorraine;Metz;88;Vosges;Épinal;2;Anould;88650;88009;48.183333;6.95;1.76
Est;41;Lorraine;Metz;88;Vosges;Épinal;2;Arrentès-de-Corcieux;88430;88014;48.133333;6.866667;1.53
Est;41;Lorraine;Metz;88;Vosges;Épinal;2;Aumontzey;88640;88018;48.166667;6.783333;1.3
